Frame 0: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 2133: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 2133: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2134: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2134: ('train', 'arrives_at', 'station') → REJECTED (A↔B)
Frame 2134: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 2134: ('child', 'loves', 'parent') → REJECTED (A↔B)
Frame 2134: ('tree', 'drops', 'leaves') → REJECTED (A↔B)
Frame 2135: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2135: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 2135: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 2135: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 2135: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2136: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2136: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 2136: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2136: ('water', 'fills', 'bottle') → REJECTED (A↔B)
Frame 2136: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2137: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 2137: ('6', 'divided_by', '3', 'equals', '2') → REJECTED (A↔B)
Frame 2137: ('2', 'plus', '5', 'equals', '7') → REJECTED (A↔B)
Frame 2137: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2137: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 2138: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 2138: ('car', 'crosses', 'bridge') → REJECTED (A↔B)
Frame 2138: ('river', 'flows_into', 'ocean') → REJECTED (A↔B)
Frame 2138: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 2138: ('wind', 'blows', 'tree') → REJECTED (A↔B)
Frame 2139: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2139: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 2139: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2139: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2139: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 2140: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 2140: ('10', 'minus', '7', 'equals', '3') → REJECTED (A↔B)
Frame 2140: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 2140: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 2140: ('10', 'minus', '7', 'equals', '3') → REJECTED (A↔B)
Frame 2141: ('water', 'fills', 'bottle') → REJECTED (A↔B)
Frame 2141: ('10', 'divided_by', '2', 'equals', '5') → REJECTED (A↔B)
Frame 2141: ('wind', 'blows', 'tree') → REJECTED (A↔B)
Frame 2141: ('student', 'reads', 'book') → REJECTED (A↔B)
Frame 2141: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 2142: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2142: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2142: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2142: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2142: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2143: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2143: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2143: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2143: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2143: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2144: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2144: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2144: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2144: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2144: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2145: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 2145: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2145: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 2145: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2145: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2146: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 2146: ('5', 'times', '2', 'equals', '10') → REJECTED (A↔B)
Frame 2146: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 2146: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2146: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2147: ('bee', 'lands_on', 'flower') → REJECTED (A↔B)
Frame 2147: ('tree', 'drops', 'leaves') → REJECTED (A↔B)
Frame 2147: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 2147: ('wind', 'moves', 'cloud') → REJECTED (A↔B)
Frame 2147: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 2148: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 2148: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 2148: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 2148: ('bee', 'buzzes_around', 'flower') → REJECTED (A↔B)
Frame 2148: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 2149: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 2149: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2149: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2149: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2149: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2150: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 2150: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 2150: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 2150: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 2150: ('9', 'minus', '5', 'equals', '4') → REJECTED (A↔B)
Frame 2151: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2151: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 2151: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 2151: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 2151: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 2152: ('2', 'plus', '5', 'equals', '7') → REJECTED (A↔B)
Frame 2152: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2152: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2152: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 2152: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 2153: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 2153: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 2153: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 2153: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 2153: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2154: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2154: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2154: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2154: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2154: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2155: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 2155: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 2155: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2155: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2155: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2156: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 2156: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2156: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2156: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 2156: ('ice', 'melts_on', 'plate') → REJECTED (A↔B)
Frame 2157: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 2157: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2157: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 2157: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2157: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 2158: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2158: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2158: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 2158: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2158: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2159: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 2159: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2159: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2159: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2159: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2160: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2160: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2160: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2160: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2160: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2161: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2161: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2161: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2161: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2161: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2162: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 2162: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2162: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2162: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2162: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2163: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 2163: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 2163: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2163: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2163: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 2164: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2164: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 2164: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 2164: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 2164: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2165: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2165: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2165: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2165: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2165: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2166: ('student', 'solves', 'problem') → REJECTED (A↔B)
Frame 2166: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 2166: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 2166: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 2166: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2167: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2167: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2167: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2167: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2167: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2168: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 2168: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 2168: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 2168: ('storm', 'roars_through', 'night') → REJECTED (A↔B)
Frame 2168: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 2169: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 2169: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 2169: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2169: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 2169: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 2170: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 2170: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 2170: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 2170: ('2', 'plus', '2', 'equals', '4') → REJECTED (A↔B)
Frame 2170: ('bee', 'buzzes_around', 'flower') → REJECTED (A↔B)
Frame 2171: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2171: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2171: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2171: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2171: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2172: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2172: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2172: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 2172: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2172: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2173: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2173: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2173: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2173: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2173: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2174: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 2174: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2174: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2174: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2174: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2175: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2175: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2175: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2175: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2175: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2176: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 2176: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 2176: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 2176: ('window', 'looks_out_on', 'garden') → REJECTED (A↔B)
Frame 2176: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 2177: ('3', 'plus', '2', 'equals', '5') → REJECTED (A↔B)
Frame 2177: ('window', 'looks_out_on', 'garden') → REJECTED (A↔B)
Frame 2177: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 2177: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2177: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 2178: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2178: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2178: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2178: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2178: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2179: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2179: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2179: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 2179: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2179: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2180: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2180: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2180: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2180: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2180: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2181: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2181: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2181: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2181: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2181: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2182: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2182: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 2182: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2182: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2182: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 2183: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2183: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2183: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 2183: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2183: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 2184: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 2184: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 2184: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2184: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2184: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 2185: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 2185: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 2185: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 2185: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2185: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2186: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2186: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 2186: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 2186: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 2186: ('wind', 'moves', 'cloud') → REJECTED (A↔B)
Frame 2187: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2187: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2187: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 2187: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 2187: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2188: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 2188: ('3', 'times', '3', 'equals', '9') → REJECTED (A↔B)
Frame 2188: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 2188: ('wind', 'moves', 'cloud') → REJECTED (A↔B)
Frame 2188: ('storm', 'damages', 'building') → REJECTED (A↔B)
Frame 2189: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 2189: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 2189: ('3', 'plus', '2', 'equals', '5') → REJECTED (A↔B)
Frame 2189: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 2189: ('engine', 'drives', 'vehicle') → REJECTED (A↔B)
Frame 2190: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2190: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2190: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2190: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2190: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2191: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2191: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2191: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2191: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2191: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2192: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 2192: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 2192: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 2192: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 2192: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2193: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 2193: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 2193: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2193: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2193: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2194: ('wind', 'blows', 'tree') → REJECTED (A↔B)
Frame 2194: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 2194: ('storm', 'roars_through', 'night') → REJECTED (A↔B)
Frame 2194: ('window', 'looks_out_on', 'garden') → REJECTED (A↔B)
Frame 2194: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 2195: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 2195: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 2195: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2195: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2195: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2196: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2196: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 2196: ('bee', 'buzzes_around', 'flower') → REJECTED (A↔B)
Frame 2196: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 2196: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 2197: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 2197: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2197: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 2197: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 2197: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 2198: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 2198: ('tree', 'drops', 'leaves') → REJECTED (A↔B)
Frame 2198: ('6', 'divided_by', '3', 'equals', '2') → REJECTED (A↔B)
Frame 2198: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 2198: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 2199: ('moon', 'reflects', 'sunlight') → REJECTED (A↔B)
Frame 2199: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 2199: ('dog', 'barks_at', 'stranger') → REJECTED (A↔B)
Frame 2199: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 2199: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 2200: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2200: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 2200: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 2200: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2200: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 2201: ('rabbit', 'runs_across', 'field') → ACCEPTED (A↔B) [simple]
Frame 2201: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 2201: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
